minlat,minlon,maxlat,maxlon,bs_lat,bs_lon
33.41965,-111.93264,33.42182,-111.92882,33.420735,-111.93073
37.35416,-121.95352,37.35684,-121.94923,37.35568,-121.95134
40.73359,-73.90013,40.73517,-73.89782,40.73436,-73.89894
33.41965,-111.93264,33.42182,-111.92882,33.420735,-111.93073
