minlat,minlon,maxlat,maxlon,bs
40.68503298,-73.84682129,40.68597435,-73.84336302,"40.68575894,-73.8446499;40.68578827,-73.84567948;40.685554,-73.844944"
34.06430723,-118.2630866,34.06560881,-118.2609365,"34.06501496,-118.261547;34.06473123,-118.2619665;34.06504731,-118.2625399"
41.88311487,-87.64432816,41.88437915,-87.64194209,"41.88352912,-87.64343789;41.88358452,-87.64262244;41.88429354,-87.64268196"
29.7776392,-95.32486774,29.77906384,-95.32281642,"29.7780656,-95.32385419;29.77834081,-95.32463298;29.77878716,-95.32294241"
33.45334109,-112.0848325,33.455141,-112.0825603,"33.45393636,-112.0830592;33.45429441,-112.0841159;33.45489862,-112.0836653"
39.94798907,-75.16421661,39.95013822,-75.16230388,"39.94863885,-75.16325338;39.94928039,-75.16361816;39.94909944,-75.16226096"
25.77456239,-80.2254557,25.77634401,-80.22329908,"25.77488605,-80.2243505;25.77567345,-80.22532683;25.77601643,-80.22445243"
32.71630718,-117.142513,32.71789333,-117.1403115,"32.71678905,-117.1406993;32.71738135,-117.1410811;32.71689712,-117.1422583"
32.83121188,-96.67452405,32.83303719,-96.672456,"32.83204215,-96.67347105;32.83251145,-96.6732989;32.8317632,-96.6736561"
37.7639299,-122.4718829,37.76568531,-122.4695364,"37.76411992,-122.4706009;37.76473437,-122.4714921;37.76503123,-122.4706553"
30.27461507,-97.74694154,30.2768963,-97.74549154,"30.27518954,-97.74555591;30.27610682,-97.74604449;30.27571265,-97.74665889"
37.35120556,-121.9472933,37.35223013,-121.944066,"37.35185096,-121.94502;37.35220743,-121.9458642;37.35138442,-121.946406"
32.86085834,-97.2834463,32.86275613,-97.28150025,"32.86153012,-97.2823859;32.86268816,-97.28257097;32.86162249,-97.28337832"
39.96728387,-83.00179295,39.9689303,-82.99903808,"39.96781723,-82.99946905;39.96789677,-83.00083382;39.96849333,-83.00027338"
35.26000315,-80.84962936,35.26194658,-80.84768392,"35.26051564,-80.84870315;35.26126465,-80.84855295;35.26159317,-80.8479575"
39.77786199,-86.15576074,39.77964283,-86.15345984,"39.77853295,-86.15399019;39.77897816,-86.15529566;39.77926619,-86.15411024"
37.7556508,-122.4885839,37.75744553,-122.4862133,"37.75617612,-122.4863711;37.75685533,-122.4873502;37.75608767,-122.4883667"
47.62319627,-122.3372192,47.62484021,-122.3344778,"47.62385198,-122.3357704;47.62396204,-122.337108;47.62451704,-122.3348809"
39.7383816,-105.0463622,39.74029077,-105.0439858,"39.73911174,-105.0446349;39.73930561,-105.0451713;39.73971812,-105.0457936"
35.47943919,-97.51608389,35.4812478,-97.51398485,"35.48018416,-97.51465573;35.47998941,-97.51541448;35.48105091,-97.51541448"
